contract_ticker,etf,freq,ran,n_obs,n_days,K,df,n_sig,kpos,kneg,lean
KXECKH276,VGT,30min,False,12,0,,,0,0,0,not-estimable
KXECKH276,VGT,60min,False,7,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VDC,30min,False,3,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VDC,60min,False,2,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VAW,30min,False,5,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VAW,60min,False,4,0,,,0,0,0,not-estimable
KXECKH276,VDC,30min,False,12,0,,,0,0,0,not-estimable
KXECKH276,VDC,60min,False,7,0,,,0,0,0,not-estimable
AAAGASM-24OCT31-US-3.20,VHT,30min,False,4,0,,,0,0,0,not-estimable
AAAGASM-24OCT31-US-3.20,VHT,60min,False,4,0,,,0,0,0,not-estimable
KXECDJT316,VIS,30min,False,19,0,,,0,0,0,not-estimable
KXECDJT316,VIS,60min,False,15,0,,,0,0,0,not-estimable
KXECDJT316,VDE,30min,False,19,0,,,0,0,0,not-estimable
KXECDJT316,VDE,60min,False,15,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VNQ,30min,False,3,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VNQ,60min,False,2,0,,,0,0,0,not-estimable
KX538APPROVEMAX-24NOV30-T41,VGT,30min,False,3,0,,,0,0,0,not-estimable
KX538APPROVEMAX-24NOV30-T41,VGT,60min,False,3,0,,,0,0,0,not-estimable
RATECUT-24SEP18,VOX,30min,False,18,0,,,0,0,0,not-estimable
RATECUT-24SEP18,VOX,60min,False,16,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VCR,30min,False,5,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VCR,60min,False,4,0,,,0,0,0,not-estimable
KXECKH276,VAW,30min,False,12,0,,,0,0,0,not-estimable
KXECKH276,VAW,60min,False,7,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VOX,30min,False,5,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VOX,60min,False,4,0,,,0,0,0,not-estimable
538APPROVEMAX-24SEP30-T43,VAW,30min,False,4,0,,,0,0,0,not-estimable
538APPROVEMAX-24SEP30-T43,VAW,60min,False,4,0,,,0,0,0,not-estimable
KXECDJT281,VNQ,30min,True,32,5,5.0,16.0,3,1,1,Balanced/mixed
KXECDJT281,VNQ,60min,True,18,5,4.0,4.0,1,0,1,ETF-leads
FEDDECISION-24SEP-C25,VOX,30min,True,93,11,6.0,69.0,0,0,0,No-sig
FEDDECISION-24SEP-C25,VOX,60min,True,50,10,5.0,29.0,2,1,1,Balanced/mixed
FEDDECISION-24SEP-C25,VPU,30min,True,93,11,6.0,69.0,1,1,0,Kalshi-leads
FEDDECISION-24SEP-C25,VPU,60min,True,50,10,5.0,29.0,0,0,0,No-sig
RATECUT-24SEP18,VGT,30min,False,18,0,,,0,0,0,not-estimable
RATECUT-24SEP18,VGT,60min,False,16,0,,,0,0,0,not-estimable
KX538APPROVEMIN-24NOV30-T37,VFH,30min,False,11,0,,,0,0,0,not-estimable
KX538APPROVEMIN-24NOV30-T37,VFH,60min,False,9,0,,,0,0,0,not-estimable
KX538APPROVEMAX-24NOV30-T41,VHT,30min,False,3,0,,,0,0,0,not-estimable
KX538APPROVEMAX-24NOV30-T41,VHT,60min,False,3,0,,,0,0,0,not-estimable
538APPROVEMAX-24SEP30-T43,VIS,30min,False,4,0,,,0,0,0,not-estimable
538APPROVEMAX-24SEP30-T43,VIS,60min,False,4,0,,,0,0,0,not-estimable
KXECDJT281,VOX,30min,True,32,5,5.0,16.0,4,2,2,Balanced/mixed
KXECDJT281,VOX,60min,True,18,5,4.0,4.0,2,2,0,Kalshi-leads
KXECDJT306,VDC,30min,True,15,3,4.0,3.0,6,3,2,Kalshi-leads
KXECDJT306,VDC,60min,False,14,0,,,0,0,0,not-estimable
KX538APPROVEMIN-24NOV30-T37,VNQ,30min,False,11,0,,,0,0,0,not-estimable
KX538APPROVEMIN-24NOV30-T37,VNQ,60min,False,9,0,,,0,0,0,not-estimable
KXECDJT281,VGT,30min,True,32,5,5.0,16.0,4,2,2,Balanced/mixed
KXECDJT281,VGT,60min,True,18,5,4.0,4.0,0,0,0,No-sig
KXECDJT312,VAW,30min,True,37,6,5.0,20.0,0,0,0,No-sig
KXECDJT312,VAW,60min,True,22,6,4.0,7.0,3,0,3,ETF-leads
KXECDJT281,VCR,30min,True,32,5,5.0,16.0,7,4,2,Kalshi-leads
KXECDJT281,VCR,60min,True,18,5,4.0,4.0,0,0,0,No-sig
KXFEDDECISION-24DEC-C25,VFH,30min,True,293,31,8.0,245.0,0,0,0,No-sig
KXFEDDECISION-24DEC-C25,VFH,60min,True,164,31,6.0,120.0,0,0,0,No-sig
538APPROVEMAX-24SEP30-T43,VCR,30min,False,4,0,,,0,0,0,not-estimable
538APPROVEMAX-24SEP30-T43,VCR,60min,False,4,0,,,0,0,0,not-estimable
AAAGASM-24OCT31-US-3.15,VPU,30min,False,14,0,,,0,0,0,not-estimable
AAAGASM-24OCT31-US-3.15,VPU,60min,False,13,0,,,0,0,0,not-estimable
FEDDECISION-24NOV-H0,VDE,30min,True,121,32,6.0,76.0,0,0,0,No-sig
FEDDECISION-24NOV-H0,VDE,60min,True,87,31,5.0,45.0,0,0,0,No-sig
FEDDECISION-24NOV-H0,VNQ,30min,True,121,32,6.0,76.0,3,2,1,Kalshi-leads
FEDDECISION-24NOV-H0,VNQ,60min,True,87,31,5.0,45.0,1,0,1,ETF-leads
KXFEDDECISION-24DEC-C25,VIS,30min,True,293,31,8.0,245.0,0,0,0,No-sig
KXFEDDECISION-24DEC-C25,VIS,60min,True,164,31,6.0,120.0,0,0,0,No-sig
KXFEDDECISION-24DEC-H0,VGT,30min,True,219,30,8.0,172.0,0,0,0,No-sig
KXFEDDECISION-24DEC-H0,VGT,60min,True,138,31,6.0,94.0,0,0,0,No-sig
